Job Title,Location,Industry,Sector,salary_average
data scientist,"Lombard, IL",IT Services,Information Technology,96500
data scientist,"Granite City, IL",Rail Freight,Transportation & Logistics,96500
data scientist,"Brentwood, TN",Building & Construction,"Building, Repair & Maintenance",96500
data scientist,"Dallas, TX",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"Palo Alto, CA",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"San Francisco, CA",Real Estate,Real Estate,96500
data scientist,"Bristol, CT",-1,-1,96500
data scientist,"San Jose, CA",-1,-1,96500
data scientist,"San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"New York, NY",Computer Hardware & Software,Information Technology,96500
data scientist,"Germantown, MD",IT Services,Information Technology,96500
data scientist,"Fishers, IN",Financial Transaction Processing,Finance,96500
data scientist,"Saint Louis, MO",Building & Construction,"Building, Repair & Maintenance",96500
data scientist,"Mountain View, CA",Healthcare Services & Hospitals,Healthcare,96500
data scientist,"Pittsburgh, PA",Colleges & Universities,Education,68500
data scientist,"New York, NY",-1,-1,68500
data scientist,"Sunnyvale, CA",IT Services,Information Technology,68500
data scientist,"Seattle, WA",Internet,Information Technology,68500
data scientist,"Santa Barbara, CA",Computer Hardware & Software,Information Technology,68500
data scientist,"Dearborn, MI",Transportation Equipment Manufacturing,Manufacturing,68500
data scientist,"Wilmington, DE",Investment Banking & Asset Management,Finance,68500
data scientist,"Miami, FL",-1,-1,68500
data scientist,"Ann Arbor, MI",Research & Development,Business Services,68500
data scientist,"Charlottesville, VA",Aerospace & Defence,Aerospace & Defence,68500
data scientist,"Dearborn, MI",Film Production & Distribution,Media,68500
data scientist,"Mountain View, CA",Internet,Information Technology,68500
data scientist,"Oxnard, CA",Consulting,Business Services,68500
data scientist,"Indianapolis, IN",Consulting,Business Services,68500
data scientist,"Salt Lake City, UT",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,68500
data scientist,"Lake Oswego, OR",Computer Hardware & Software,Information Technology,68500
data scientist,"Charleston, SC",Computer Hardware & Software,Information Technology,68500
data scientist,"Portland, OR",Internet,Information Technology,68500
data scientist,"San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,68500
data scientist,"Thousand Oaks, CA",-1,-1,68500
data scientist,"Keene, NH",IT Services,Information Technology,68500
data scientist,"New York, NY",Consumer Product Hire,Consumer Services,68500
data scientist,"Rosemont, IL",Research & Development,Business Services,68500
data scientist,"Palo Alto, CA",Internet,Information Technology,68500
data scientist,"Columbia, MD",IT Services,Information Technology,68500
data scientist,"Napa, CA",Food & Beverage Shops,Retail,68500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,68500
data scientist,"San Jose, CA",Computer Hardware & Software,Information Technology,68500
data scientist,"Dayton, OH",Consulting,Business Services,68500
data scientist,"Reston, VA",IT Services,Information Technology,145500
data scientist,"Livermore, CA",Government Agencies,Government,145500
data scientist,"San Diego, CA",Enterprise Software & Network Solutions,Information Technology,145500
