,job_title,salary_offered,category,job_board,city,state,C#,R,Agile,AWS,Azure,DATA STUDIO,Degree,GOLang,Hadoop,Hive,INSIGHT,JAVA,KAFKA,MATLAB,MATPLOTLIB,NOSQL,PANDAS,PERL,PIG,POSTGRESQL,POWERBI,PYTHON,QLIKVIEW,R CLOUD,SCALA,SPARK,SQL,SCIKITLEARN,TABLEAU,UNIX
119,data scientist,,business and financial operations,careerbuilder,Waltham,MA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120,data scientist,,,dice,Houston,TX,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
121,data scientist,,,dice,Seattle,WA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,data scientist,,,dice,Santa Monica,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
123,data scientist,,,dice,Los Angeles,CA,0.0,1,0,0,0,0.0,1,0,1,1,,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
124,data scientist,,,dice,Santa Monica,CA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
125,data scientist,,,dice,Newport Beach,CA,0.0,1,0,1,0,0.0,0,0,1,1,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
126,data scientist,,,dice,Austin,TX,0.0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,data scientist,,,dice,Los Angeles,CA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
128,data scientist,,,dice,San Diego,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
129,data scientist,,,dice,Los Angeles,CA,0.0,1,0,0,0,0.0,0,0,1,1,,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130,data scientist,,Customer+Service,indeed,Bloomfield,CT,0.0,1,1,1,0,0.0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
131,data scientist,,Engineering/Architecture,indeed,Bloomfield,NJ,0.0,1,1,0,1,0.0,1,0,1,1,,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
132,data scientist,,Engineering/Architecture,indeed,Scotts Valley,CA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
133,data scientist,,Engineering/Architecture,indeed,Tarrytown,NY,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,data scientist,,Engineering/Architecture,indeed,San Francisco,CA,0.0,1,0,0,0,0.0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
